date,transaction_id,account_code,account_name,debit,credit,description,auditor_id
2026-03-09,TXN030,4000,Revenue,0.00,4250.00,Invoice #2205 to Theta Corp,AUD03
2026-03-11,TXN031,6400,Depreciation Expense,2083.33,0.00,March equipment depreciation,AUD01
2026-03-11,TXN031,3100,Accumulated Depreciation,0.00,2083.33,March equipment depreciation,AUD01
2026-03-13,TXN032,2000,Accounts Payable,5500.00,0.00,Partial payment to Iota Supplies,AUD02
2026-03-13,TXN032,1000,Cash,0.00,5500.00,Partial payment to Iota Supplies,AUD02
2026-03-15,TXN033,1000,Cash,400000.00,0.00,Very large cash inflow — outlier,AUD03
2026-03-15,TXN033,4000,Revenue,0.00,400000.00,Very large cash inflow — outlier,AUD03
2026-03-17,TXN034,6100,Salaries Expense,45000.00,0.00,March payroll run,AUD01
2026-03-17,TXN034,1000,Cash,0.00,45000.00,March payroll run,AUD01
2026-03-19,TXN035,6200,Utilities Expense,765.00,0.00,Gas bill March,AUD02
2026-03-19,TXN035,2000,Accounts Payable,0.00,765.00,Gas bill March,AUD02
2026-03-20,TXN036,1000,Cash,10000.00,0.00,Round number petty cash top-up,AUD03
2026-03-20,TXN036,6600,Petty Cash Expense,0.00,10000.00,Round number petty cash top-up,AUD03
2026-03-22,TXN037,1200,Accounts Receivable,7320.00,0.00,Invoice #2206 to Kappa Inc,AUD01
2026-03-22,TXN037,4000,Revenue,0.00,7320.00,Invoice #2206 to Kappa Inc,AUD01
2026-03-24,TXN002,1000,Cash,5000.00,0.00,Duplicate TXN002 — re-submitted entry,AUD02
2026-03-24,TXN002,2000,Accounts Payable,0.00,5000.00,Duplicate TXN002 — re-submitted entry,AUD02
2026-03-25,TXN038,6000,Operating Expenses,1125.00,0.00,Courier and logistics Q1,AUD03
2026-03-25,TXN038,1000,Cash,0.00,1125.00,Courier and logistics Q1,AUD03
2026-03-27,TXN039,6300,Marketing Expense,3400.00,0.00,,AUD01
2026-03-27,TXN039,2000,Accounts Payable,0.00,3400.00,,AUD01
2026-03-28,TXN040,1000,Cash,2800.00,0.00,Petty cash reimbursement,AUD02
2026-03-28,TXN040,6000,Operating Expenses,0.00,2800.00,Petty cash reimbursement,AUD02
2026-03-29,TXN041,4200,Other Income,0.00,1500.00,Equipment rental income,AUD03
2026-03-29,TXN041,1000,Cash,1500.00,0.00,Equipment rental income,AUD03
2026-03-30,TXN042,6100,Salaries Expense,2500.00,0.00,Contractor invoice — Lambda Consulting,AUD01
2026-03-30,TXN042,2000,Accounts Payable,0.00,2500.00,Contractor invoice — Lambda Consulting,AUD01
2026-03-31,TXN043,6400,Depreciation Expense,2083.33,0.00,Year-end depreciation adjustment,AUD02
2026-03-31,TXN043,3100,Accumulated Depreciation,0.00,2083.33,Year-end depreciation adjustment,AUD02
